|4||   |L
LIBA |4|531|   |L
LIBA |5|TWR  122.10
LIBA |5|TWR  118.20
LIBA |5|APR  118.85
LIBA |4||   |L
LIBA |4||   |L
LIBA |4||   |L
LIBA |4||   |L
LIBA |4||   |L
LIBA |4||   |L
LIBA |4||HRD|L
LIBA |4||   |L
LIBA |4||   |L
U01  |4|793|   |L
U01  |5|UNIC 122.80
SDAI |4|.75|   |L
KAHH |4|286|   |L
KAHH |5|UNIC 122.80
KAHH |5|APR  125.30
KAMW |4|982|   |L
KAMW |4|998|   |L
KAMW |5|ATIS 132.02
KAMW |5|UNIC 122.70
KAMW |5|CLR  126.00
KAMW |5|APR  123.90
LGKM |4|977|   |L
LGKM |5|TWR  122.10
2TA9 |4|663|   |L
NM90 |4|098|   |L
VA1L |4|925|   |L
5LS9 |4|536|   |L
CYEY |4|568|   |L
CYEY |5|UNIC 122.80
FMNZ |4|.48|   |L
VCCG |4|334|   |L
VIAR |4|726|   |L
VIAR |5|TWR  119.70
VIAR |5|TWR  124.35
VIAR |5|APR  119.70
OS64 |4|909|   |L
NTGA |4|.34|   |L
NTGA |5|TWR  119.60
YANR |4|880|   |L
0XS7 |4|198|   |L
SVAN |4|430|   |L
74S  |4|502|   |L
F68  |4|056|   |L
F68  |5|UNIC 122.90
LTBY |4|810|   |L
LTBY |5|TWR  121.90
LTBY |5|TWR  123.75
PAKP |4|128|   |L
PAKP |5|ATIS 135.75
PAKP |5|UNIC 122.80
FMNL |4|.62|   |L
SWNS |4|.37|   |L
SWNS |4|.36|   |L
SWNS |5|UNIC 123.45
SWNS |4||   |L
SWNS |4||   |L
SWNS |4||   |L
SWNS |4||   |L
SWNS |4||   |L
SWNS |4||   |L
LIPY |4|606|   |L
LIPY |5|APR  125.32
LIPY |5|TWR  119.80
LIPY |5|TWR  122.10
LIPY |5|ATIS 122.85
LIPY |4||   |L
LIPY |4||   |L
LIPY |4||HRD|L
LIPY |4||   |L
LIPY |4||   |L
LIPY |4||   |L
LIPY |4||   |L
LIPY |4||TRF|L
LIPY |4||   |L
LIPY |4||   |L
YADO |4|.40|   |L
SPHY |4|.71|   |L
SA35 |4|.63|   |L
79J  |4|310|   |L
79J  |5|ATIS 134.87
79J  |5|UNIC 119.55
79J  |5|UNIC 122.80
79J  |5|GRND 121.90
79J  |5|TWR  119.55
79J  |5|APR  133.45
FMND |4|.65|   |L
PGUA |4|.57|   |L
PGUA |4|.58|   |L
PGUA |5|ATIS 118.17
PGUA |5|GRND 121.70
PGUA |5|TWR  126.20
PGUA |5|APR  118.70
S97  |4|104|   |L
S97  |5|UNIC 122.80
SSAN |4|.02|   |L
UT71 |4|718|   |L
ENAN |4|309|   |L
ENAN |4|282|   |L
ENAN |5|TWR  118.20
ENAN |5|TWR  118.70
ENAN |5|TWR  122.10
ENAN |5|APR  119.10
ENAN |5|APR  121.10
ENAN |5|APR  123.30
LGAD |4|934|   |L
LGAD |5|TWR  122.10
LGAD |5|TWR  120.65
LGAD |5|APR  120.65
LGAD |5|APR  122.10
SVIE |4|794|   |L
E11  |4|340|   |L
E11  |4|330|   |L
E11  |4|327|   |L
E11  |5|UNIC 122.80
E11  |5|APR  121.10
KRHP |4|192|   |L
KRHP |5|ATIS 119.67
KRHP |5|UNIC 122.80
C20  |4|953|   |L
C20  |4|951|   |L
C20  |5|UNIC 122.70
C20  |5|APR  118.55
GMFO |4|779|   |L
GMFO |5|ATIS 121.60
GMFO |5|TWR  118.20
GMFO |5|APR  136.60
YADN |4|.02|   |L
MMTG |4|571|   |L
KAXX |4|434|   |L
KAXX |5|ATIS 118.02
KAXX |5|UNIC 122.80
KAXX |5|APR  132.80
SUAA |4|.78|   |L
SUAA |5|TWR  118.40
SUAA |5|TWR  122.10
YAST |4|.61|   |L
